Date,Volume,Open,High,Low,Close
2017-03-14,113725728,16.4073,17.208,16.4013,17.2
2017-03-15,78500436,17.1333,17.4,16.9513,17.0487
2017-03-16,106907647,17.4933,17.7167,17.2707,17.47
2017-03-17,97365221,17.6,17.6887,17.4133,17.4333
2017-03-20,54024213,17.3733,17.6367,17.2547,17.4613
2017-03-21,103523273,17.522,17.6533,16.6827,16.712
2017-03-22,60850995,16.7707,17.0047,16.7007,17.0007
2017-03-23,49647635,17.026,17.1781,16.8867,16.9853
2017-03-24,84564978,17.0467,17.5927,17.0007,17.544
2017-03-27,93320368,17.3733,18.038,17.3167,18.0147
2017-03-28,119679915,18.468,18.712,18.3333,18.4967
2017-03-29,55087862,18.556,18.64,18.3693,18.492
2017-03-30,62121524,18.536,18.8,18.4807,18.528
2017-03-31,49405445,18.582,18.6453,18.4213,18.5533
2017-04-03,207972646,19.1267,19.9333,18.972,19.9013
2017-04-04,151623374,19.7927,20.3207,19.6353,20.2467
2017-04-05,117878416,20.136,20.3253,19.6133,19.6667
2017-04-06,82765924,19.792,20.1293,19.6067,19.9133
2017-04-07,68499446,19.8333,20.1793,19.81,20.1693
2017-04-10,114804288,20.61,20.9153,20.5807,20.826
2017-04-11,85770752,20.892,20.898,20.3667,20.5807
2017-04-12,90654675,20.4227,20.5632,19.7547,19.7893
2017-04-13,139135160,19.78,20.4927,19.6867,20.2667
2017-04-17,61920974,20.18,20.2667,19.912,20.096
2017-04-18,45513352,19.98,20.056,19.86,20.0167
2017-04-19,58367146,20.164,20.4413,20.1407,20.368
2017-04-20,92189369,20.434,20.61,20.0153,20.1673
2017-04-21,67529336,20.1333,20.4267,20.028,20.3733
2017-04-24,76166527,20.6147,20.7033,20.4014,20.5353
2017-04-25,101012379,20.5333,20.932,20.3907,20.9193
2017-04-26,70246930,20.8247,20.9667,20.6,20.678
2017-04-27,51939919,20.7793,20.8727,20.5,20.5753
2017-04-28,67449851,20.6553,20.9867,20.5333,20.938
2017-05-01,132298254,20.992,21.8167,20.9873,21.522
2017-05-02,79748225,21.6,21.844,21.104,21.2593
2017-05-03,103188833,21.178,21.4353,20.6967,20.7347
2017-05-04,212039744,20.4957,20.518,19.384,19.6973
2017-05-05,121761674,19.8667,20.57,19.7867,20.5567
2017-05-08,105043552,20.7267,20.9193,20.388,20.4793
2017-05-09,144950538,20.6253,21.466,20.6067,21.4173
2017-05-10,86017817,21.4373,21.7,21.208,21.6813
2017-05-11,71207544,21.56,21.7333,21.3067,21.54
2017-05-12,61779164,21.6987,21.8,21.4353,21.654
2017-05-15,114102753,21.2253,21.3467,20.8353,21.0587
2017-05-16,62115959,21.1727,21.3373,21.0093,21.134
2017-05-17,100434805,20.9593,20.9753,20.3667,20.4073
2017-05-18,84137253,20.4667,20.9293,20.354,20.8707
2017-05-19,69818665,21.0333,21.1,20.68,20.722
2017-05-22,64864543,20.8533,20.958,20.4533,20.69
2017-05-23,64713973,20.6973,20.7153,20.232,20.2573
2017-05-24,75527842,20.434,20.7333,20.36,20.6813
2017-05-25,75006442,20.7347,21.1313,20.5207,21.122
2017-05-26,116895077,21.152,21.6993,21.0873,21.676
2017-05-30,116572982,21.7333,22.4187,21.7173,22.34
2017-05-31,149063265,22.5127,22.8593,22.344,22.734
2017-06-01,114026403,22.9333,22.992,22.486,22.6913
2017-06-02,83759238,22.6513,22.8587,22.3953,22.6567
2017-06-05,101537559,22.5667,23.2293,22.2807,23.1547
2017-06-06,165478717,22.98,23.9662,22.6647,23.5233
2017-06-07,140230310,23.756,24.0333,23.676,23.9767
2017-06-08,135430087,24.25,24.7933,24.0147,24.6667
2017-06-09,258750771,24.9613,25.1247,23.6533,23.8213
2017-06-12,157617821,23.866,24.3,23.3747,23.934
2017-06-13,176600462,24.508,25.0667,24.4407,25.0633
2017-06-14,191677104,25.4057,25.6167,25.0873,25.3773
2017-06-15,156189672,24.8333,25.0307,24.4327,25.0227
2017-06-16,95211702,25.1983,25.2007,24.6733,24.76
2017-06-19,96501462,25.0,25.1133,24.52,24.6533
2017-06-20,111286594,25.1113,25.2587,24.6487,24.816
2017-06-21,73751513,24.9567,25.1327,24.5347,25.0933
2017-06-22,112656034,25.1993,25.6667,24.9047,25.5073
2017-06-23,96377652,25.4967,25.7993,25.2897,25.5633
2017-06-26,98952761,25.7793,25.7967,24.8733,25.166
2017-06-27,104662358,25.0933,25.0933,24.1347,24.158
2017-06-28,94354798,24.4453,24.7827,24.168,24.7493
2017-06-29,123036883,24.7073,24.7333,23.6067,24.05
2017-06-30,87345646,24.2473,24.4512,23.9746,24.1073
2017-07-03,94580968,24.6827,24.7567,23.4333,23.508
2017-07-05,254974373,23.1467,23.1493,21.7553,21.806
2017-07-06,288870456,21.1507,21.386,20.42,20.5887
2017-07-07,211949144,20.9,21.1333,20.492,20.8813
2017-07-10,206404247,20.86,21.196,20.2087,21.07
2017-07-11,172901314,21.0667,21.8187,20.9533,21.8147
2017-07-12,154758523,22.0267,22.2067,21.6333,21.968
2017-07-13,128734661,22.0073,22.1067,21.3313,21.5607
2017-07-14,84118818,21.546,21.8947,21.4147,21.852
2017-07-17,147412516,21.7027,21.8067,20.8967,21.3047
2017-07-18,95410602,21.1667,21.942,21.044,21.8827
2017-07-19,95188212,21.882,22.11,21.548,21.684
2017-07-20,77137701,21.7933,22.0147,21.6133,21.9947
2017-07-21,73075583,21.964,22.0838,21.72,21.8933
2017-07-24,128974316,22.016,22.8933,22.0007,22.8347
2017-07-25,104668928,23.0,23.04,22.2767,22.64
2017-07-26,72142674,22.6907,23.0333,22.5413,22.9233
2017-07-27,124288123,23.0667,23.1667,21.7527,22.2973
2017-07-28,73048328,22.4593,22.64,22.1673,22.338
2017-07-31,127881746,22.3667,22.766,21.4027,21.5647
2017-08-01,124274893,21.5333,21.63,21.0753,21.3047
2017-08-02,179135160,21.2627,21.808,20.748,21.726
2017-08-03,202863949,23.022,23.3333,22.8767,23.1393
2017-08-04,138499356,23.1333,23.818,22.8867,23.794
2017-08-07,94639918,23.8233,23.9653,23.5167,23.678
2017-08-08,111477514,23.8353,24.572,23.8267,24.348
2017-08-09,103217678,24.0667,24.6667,23.93,24.2353
2017-08-10,105945757,24.1067,24.4434,23.644,23.6933
2017-08-11,65363397,23.798,24.084,23.5747,23.858
2017-08-14,67619501,24.3087,24.5107,24.1733,24.2533
2017-08-15,46268992,24.3467,24.366,23.958,24.1553
2017-08-16,51092569,24.2,24.4333,24.168,24.194
2017-08-17,75162337,24.0807,24.22,23.4393,23.4613
2017-08-18,80862035,23.5273,23.6,23.0533,23.164
2017-08-21,97347701,23.0547,23.0547,22.1233,22.524
2017-08-22,64713988,22.742,22.816,22.4915,22.7567
2017-08-23,74129168,22.5993,23.566,22.5536,23.518
2017-08-24,68573576,23.5013,23.7773,23.316,23.5287
2017-08-25,52127764,23.616,23.7127,23.1533,23.2033
2017-08-28,56193572,23.152,23.1567,22.648,23.044
2017-08-29,61039514,22.632,23.27,22.5833,23.1573
2017-08-30,51062449,23.3113,23.5647,23.1333,23.5453
2017-08-31,60949920,23.57,23.896,23.5213,23.7267
2017-09-01,45728227,23.7413,23.8393,23.5794,23.6933
2017-09-05,57546001,23.5867,23.6993,23.0593,23.306
2017-09-06,61229984,23.3,23.3986,22.7707,22.9687
2017-09-07,63525643,23.0653,23.4987,22.8967,23.374
2017-09-08,48919971,23.266,23.3187,22.82,22.8933
2017-09-11,114764943,23.4233,24.2473,23.3333,24.246
2017-09-12,89493015,24.2993,24.584,24.0267,24.1833
2017-09-13,62567744,24.2547,24.538,23.9727,24.4153
2017-09-14,107553891,24.2887,25.1973,24.1753,25.176
2017-09-15,81108364,24.9673,25.3333,24.8467,25.3207
2017-09-18,107666541,25.35,25.974,25.1787,25.6667
2017-09-19,96528072,25.3333,25.4927,24.9047,25.0067
2017-09-20,73649333,24.8667,25.2166,24.738,24.9273
2017-09-21,69163045,24.9933,25.122,24.3007,24.432
2017-09-22,122143364,24.4327,24.66,23.392,23.406
2017-09-25,113807313,23.5433,23.8313,22.8587,22.9993
2017-09-26,107244681,23.3953,23.416,22.7267,23.0167
2017-09-27,90410580,23.3267,23.4326,22.7,22.7313
2017-09-28,79646645,22.6587,22.85,22.36,22.64
2017-09-29,76485727,22.7907,22.9787,22.5734,22.74
2017-10-02,78413166,22.8347,22.9133,22.3673,22.7687
2017-10-03,151838174,22.3933,23.2367,22.0853,23.2093
2017-10-04,122219864,23.4167,23.908,23.3067,23.6673
2017-10-05,62518664,23.7333,23.829,23.4233,23.6887
2017-10-06,64092958,23.54,24.0066,23.4833,23.792
2017-10-09,111921859,23.31,23.45,22.8447,22.8627
2017-10-10,104583893,23.12,23.7087,23.0354,23.706
2017-10-11,67420961,23.5927,23.84,23.41,23.64
2017-10-12,61103249,23.53,23.9853,23.5093,23.712
2017-10-13,53082078,23.7987,23.8993,23.5787,23.7047
2017-10-16,80596310,23.584,23.632,23.144,23.3733
2017-10-17,49354325,23.394,23.748,23.338,23.7167
2017-10-18,74040323,23.7313,24.2,23.6087,23.9767
2017-10-19,75835687,23.704,23.8098,23.2133,23.454
2017-10-20,73884818,23.5127,23.6367,22.956,23.0067
2017-10-23,86093927,23.3253,23.33,22.4167,22.468
