Date,Open,High,Low,Close,Volume,Asset_Name
2018-03-23,39.8179,40.1795,39.008,39.008,173505181,Apple
2018-03-26,39.7419,40.9369,39.3586,40.8558,158756805,Apple
2018-03-27,41.0683,41.4199,39.4693,39.805,173056049,Apple
2018-03-28,39.5492,40.203,39.0643,39.3684,176210640,Apple
2018-03-29,39.6845,40.6131,39.4633,39.6786,162382086,Apple
2018-04-02,39.7032,39.9523,38.8945,39.4149,158949453,Apple
2018-04-03,39.6451,39.9058,38.9932,39.8179,128041757,Apple
2018-04-04,38.9932,40.6743,38.9657,40.5803,146341939,Apple
2018-04-05,40.8116,41.1986,40.6921,40.8628,113896845,Apple
2018-04-06,40.4282,40.7877,39.7734,39.8149,148032642,Apple
2018-04-09,40.1696,40.9349,40.1597,40.211,122711998,Apple
2018-04-10,40.9121,41.1414,40.5616,40.9717,120841740,Apple
2018-04-11,40.7295,41.1245,40.6002,40.7778,94860375,Apple
2018-04-12,41.0049,41.3844,40.922,41.1759,96795689,Apple
2018-04-13,41.3311,41.5819,41.1078,41.3212,106247081,Apple
2018-04-16,41.3913,41.6619,41.3418,41.5769,91252219,Apple
2018-04-17,41.729,42.3147,41.7092,42.1518,112510813,Apple
2018-04-18,42.049,42.2851,41.8239,42.056,87768134,Apple
2018-04-19,41.3714,41.4762,40.8294,40.8628,147201715,Apple
2018-04-20,40.3431,40.4855,39.1177,39.1868,276953174,Apple
2018-04-23,39.4514,39.4693,38.8026,39.0772,154419018,Apple
2018-04-24,39.175,39.332,38.1251,38.5241,142478982,Apple
2018-04-25,38.4529,39.1157,38.4046,38.697,120023993,Apple
2018-04-26,38.8086,39.1888,38.6287,38.8342,118251806,Apple
2018-04-27,38.7798,38.8608,37.9828,38.3858,150783726,Apple
2018-04-30,38.3452,39.5512,38.278,39.0812,179419834,Apple
2018-05-01,39.3518,40.0095,39.0842,39.9896,226537647,Apple
2018-05-02,41.4366,42.0331,41.095,41.7489,281386004,Apple
2018-05-03,41.5918,41.973,41.25,41.8259,144069731,Apple
2018-05-04,42.1548,43.5681,42.1379,43.4733,237667766,Apple
2018-05-07,43.7893,44.3779,43.6865,43.7843,179521319,Apple
2018-05-08,43.742,44.0363,43.4337,43.9977,120111508,Apple
2018-05-09,44.1132,44.3118,43.7993,44.3028,98157199,Apple
2018-05-10,44.3957,45.016,44.3739,44.9361,118362914,Apple
2018-05-11,44.9795,45.1168,44.4995,44.768,110422133,Apple
2018-05-14,44.868,44.9893,44.5933,44.6625,87533084,Apple
2018-05-15,44.3366,44.4076,43.9424,44.2545,99818707,Apple
2018-05-16,44.1705,44.7385,44.1528,44.6704,80810964,Apple
2018-05-17,44.6258,44.8461,44.2377,44.3879,72853185,Apple
2018-05-18,44.4373,44.5815,44.1844,44.2257,77081382,Apple
2018-05-21,44.6258,44.9262,44.368,44.5408,77515528,Apple
2018-05-22,44.7187,44.8381,44.3366,44.4303,64203303,Apple
2018-05-23,44.2347,44.7464,44.0956,44.7138,84498490,Apple
2018-05-24,44.8116,44.8283,44.2022,44.6625,97875919,Apple
2018-05-25,44.6821,45.019,44.5438,44.766,73556410,Apple
2018-05-29,44.5331,44.8076,44.3582,44.6012,94843254,Apple
2018-05-30,44.5617,44.6258,44.3366,44.5094,78736180,Apple
2018-05-31,44.4451,44.6821,44.1874,44.3582,115774577,Apple
2018-06-01,44.6229,45.1662,44.5697,45.1602,98754393,Apple
2018-06-04,45.493,45.9139,45.4238,45.5384,110649424,Apple
2018-06-05,45.828,46.0392,45.6579,45.8872,90849219,Apple
2018-06-06,45.9651,46.072,45.5593,46.0481,88185395,Apple
2018-06-07,46.0866,46.1014,45.6511,45.9237,89927565,Apple
2018-06-08,45.3835,45.5769,45.0487,45.5088,112294980,Apple
2018-06-11,45.4238,45.5692,45.1532,45.3943,77126590,Apple
2018-06-12,45.4337,45.7164,45.3785,45.6383,71240218,Apple
2018-06-13,45.6708,45.7834,45.2076,45.2718,91154341,Apple
2018-06-14,45.4734,45.4792,45.1562,45.2956,91035037,Apple
2018-06-15,45.1098,45.1405,44.69,44.8283,259999398,Apple
2018-06-18,44.5962,44.9142,44.4402,44.8057,77869725,Apple
2018-06-19,43.9493,44.2297,43.5484,44.0787,141453287,Apple
2018-06-20,44.2347,44.4402,44.0887,44.2695,86900885,Apple
2018-06-21,44.453,44.7108,43.9028,44.0273,108314475,Apple
2018-06-22,44.1824,44.1904,43.8437,43.8978,114585155,Apple
2018-06-25,43.5365,43.8978,42.8995,43.2432,133384605,Apple
2018-06-26,43.4407,44.2774,43.334,43.7795,103500716,Apple
2018-06-27,43.9719,44.46,43.6836,43.7132,106517494,Apple
2018-06-28,43.6995,44.2022,43.6294,44.0363,73153137,Apple
2018-06-29,44.221,44.4373,43.421,43.9424,95785151,Apple
2018-07-02,43.6343,44.4648,43.5414,44.4353,74695417,Apple
2018-07-03,44.5795,44.6129,43.5681,43.657,58786299,Apple
2018-07-05,43.9779,44.2496,43.742,44.0136,69947404,Apple
2018-07-06,44.0176,44.7336,43.9652,44.6189,73658706,Apple
2018-07-09,44.9814,45.2668,44.9341,45.2422,83227201,Apple
2018-07-10,45.2747,45.4071,45.1462,45.1858,67145580,Apple
2018-07-11,44.7464,45.0507,44.5351,44.5962,79329841,Apple
2018-07-12,44.9893,45.4397,44.9361,45.3528,76000436,Apple
2018-07-13,45.3646,45.5404,45.3203,45.4199,52741129,Apple
2018-07-16,45.4664,45.726,45.2026,45.3232,63370918,Apple
2018-07-17,45.0427,45.5483,44.9092,45.4497,65441053,Apple
2018-07-18,45.5257,45.5307,45.0851,45.1977,69059093,Apple
2018-07-19,45.029,45.7025,45.029,45.5503,85460386,Apple
2018-07-20,45.5257,45.6738,45.1433,45.4467,87226695,Apple
2018-07-23,45.2668,45.5672,44.9963,45.489,67357124,Apple
2018-07-24,45.6767,45.9721,45.5888,45.8131,78767153,Apple
2018-07-25,45.828,46.2525,45.6738,46.2446,70883590,Apple
2018-07-26,46.1972,46.5193,45.9611,46.1043,80359798,Apple
2018-07-27,46.2852,46.3345,45.1267,45.3399,101203875,Apple
2018-07-30,45.5543,45.6195,44.8798,45.0801,88589449,Apple
2018-07-31,45.1732,45.6076,44.9429,45.1702,165863670,Apple
2018-08-01,47.2718,47.8931,46.8343,47.8357,286187387,Apple
2018-08-02,47.6145,49.4664,47.5622,49.2314,262884418,Apple
2018-08-03,49.1435,49.5512,48.777,49.3737,140901187,Apple
2018-08-06,49.3766,49.6719,49.1535,49.6314,107107501,Apple
2018-08-07,49.6896,49.7292,49.0814,49.1623,107789945,Apple
2018-08-08,48.9123,49.3321,48.5489,49.1958,94891328,Apple
2018-08-09,49.2037,49.7954,49.1839,49.5851,98965522,Apple
2018-08-10,49.3993,49.8082,49.2314,49.4389,103315318,Apple
2018-08-13,49.4783,50.2506,49.4783,49.7508,108687275,Apple
2018-08-14,50.0602,50.1578,49.6116,49.9671,87098030,Apple
2018-08-15,49.8377,50.2012,49.6284,50.0817,120931216,Apple
2018-08-16,50.4433,50.931,50.3761,50.8146,119641628,Apple
2018-08-17,50.8444,51.9168,50.778,51.8279,148718924,Apple
2018-08-20,51.9525,52.2123,51.2422,51.3241,127144659,Apple
2018-08-21,51.6462,51.7401,50.9815,51.2256,109815980,Apple
2018-08-22,51.0014,51.5404,50.938,51.2276,79836174,Apple
2018-08-23,51.1317,51.7075,51.1197,51.331,79269847,Apple
2018-08-24,51.5999,51.671,51.2422,51.4932,77561859,Apple
2018-08-27,51.7302,52.1094,51.5337,51.9138,86162347,Apple
2018-08-28,52.1707,52.5342,52.1519,52.3347,95614542,Apple
2018-08-29,52.4404,53.2384,52.2645,53.1141,114412891,Apple
2018-08-30,53.1792,54.3781,52.9766,53.6037,204831502,Apple
2018-08-31,53.9564,54.5214,53.831,54.224,181937466,Apple
2018-09-04,54.4146,54.5915,53.9859,54.4029,114980978,Apple
2018-09-05,54.5512,54.7119,53.6206,54.0432,139928374,Apple
2018-09-06,53.8873,54.1569,52.7189,53.1435,143945824,Apple
2018-09-07,52.8492,53.6868,52.5756,52.7189,157924129,Apple
2018-09-10,52.635,52.8492,51.5682,52.0098,165886035,Apple
2018-09-11,51.9307,53.4377,51.5899,53.3273,150070864,Apple
2018-09-12,53.584,53.5998,52.3672,52.6645,206867127,Apple
2018-09-13,53.2453,54.4009,53.017,53.9328,175079121,Apple
2018-09-14,53.7777,54.0354,53.0052,53.3243,134329753,Apple
2018-09-17,52.9174,53.1071,51.7559,51.9,156141375,Apple
2018-09-18,51.8804,52.8492,51.7253,51.9878,132534833,Apple
2018-09-19,52.0512,52.3159,51.2868,52.0197,113863088,Apple
2018-09-20,52.4632,52.9469,52.2043,52.4106,111701006,Apple
2018-09-21,52.5933,52.7337,51.7616,51.8477,404034037,Apple
2018-09-24,51.6512,52.709,51.6079,52.5953,116253891,Apple
2018-09-25,52.3446,53.0774,52.3347,52.9273,103076784,Apple
2018-09-26,52.6468,53.3015,52.3474,52.5065,100685351,Apple
2018-09-27,53.3194,53.9397,53.2503,53.5869,126697718,Apple
2018-09-28,53.5475,53.7973,53.3686,53.7757,96255129,Apple
2018-10-01,54.303,54.6496,53.9168,54.1341,99073760,Apple
2018-10-02,54.1312,54.788,53.9859,54.6172,104058209,Apple
2018-10-03,54.8008,55.6167,54.7386,55.2838,120289928,Apple
2018-10-04,54.9747,55.3509,54.0118,54.3129,134509053,Apple
2018-10-05,54.305,54.4146,52.5441,53.4359,140967358,Apple
2018-10-08,52.9322,53.5504,52.4532,53.3074,124526126,Apple
2018-10-09,53.2748,54.137,52.9371,54.0432,112885799,Apple
2018-10-10,53.7086,53.9168,51.4673,51.5404,176272062,Apple
2018-10-11,51.1,52.2872,50.5816,51.0824,223010787,Apple
2018-10-12,52.5065,53.0921,51.6562,52.9075,169334190,Apple
2018-10-15,52.6863,52.8452,51.7559,51.7786,129257511,Apple
2018-10-16,52.1549,53.117,51.6362,52.9174,122511298,Apple
2018-10-17,52.9519,53.034,52.2507,52.6941,96070566,Apple
2018-10-18,51.8941,52.3416,50.7395,51.4605,136773043,Apple
2018-10-19,51.9426,52.709,51.7935,52.2438,138861124,Apple
2018-10-22,52.3543,53.2057,52.1568,52.5609,120866229,Apple
2018-10-23,51.4141,53.1792,51.1447,53.0547,162743470,Apple
2018-10-24,53.025,53.4203,51.1049,51.2374,171799664,Apple
2018-10-25,51.8607,52.7386,51.6342,52.3573,125331470,Apple
2018-10-26,51.4311,52.4502,50.6615,51.5278,198385847,Apple
2018-10-29,52.2142,52.3317,49.0942,50.5617,192832637,Apple
2018-10-30,50.2992,51.257,49.8496,50.8116,153894895,Apple
2018-10-31,51.666,52.5144,51.6059,52.1372,161026892,Apple
2018-11-01,52.1805,52.9668,51.6482,52.9352,244834769,Apple
2018-11-02,49.9187,50.8936,48.9372,49.4279,383388381,Apple
2018-11-05,48.6692,48.6891,47.2107,48.0245,277748337,Apple
2018-11-06,48.1005,48.7672,48.0502,48.5389,133841084,Apple
2018-11-07,49.0654,50.0373,48.628,50.0117,140312369,Apple
2018-11-08,50.1934,50.227,49.4249,49.8377,106099561,Apple
2018-11-09,49.1335,49.2451,48.3455,48.88,143762309,Apple
2018-11-12,47.571,47.7746,46.3245,46.4166,213915305,Apple
2018-11-13,45.8051,47.1366,45.7618,45.9533,196125476,Apple
2018-11-14,46.3515,46.4897,44.4471,44.6525,254348757,Apple
2018-11-15,45.0328,45.8901,44.6782,45.7518,194434855,Apple
2018-11-16,45.5384,46.6102,45.2936,46.2614,154482032,Apple
2018-11-19,45.4199,45.5868,44.221,44.4303,175367670,Apple
2018-11-20,42.6396,43.3824,41.9532,42.307,283733493,Apple
2018-11-21,42.9618,43.09,42.207,42.2613,130201969,Apple
2018-11-23,41.816,42.2169,41.1394,41.1828,98826211,Apple
2018-11-26,41.651,41.8179,40.6998,41.737,188242400,Apple
2018-11-27,40.9982,41.7745,40.8479,41.651,173135895,Apple
2018-11-28,42.2487,43.3399,41.814,43.2531,192693509,Apple
2018-11-29,43.6619,43.6935,42.4786,42.919,174736488,Apple
2018-11-30,43.095,43.105,42.3187,42.688,165372408,Apple
2018-12-03,44.0936,44.2091,43.3203,44.1805,170670359,Apple
2018-12-04,43.2551,43.6006,42.1399,42.2417,172955616,Apple
2018-12-06,41.0583,41.7764,40.7394,41.7617,180293661,Apple
2018-12-07,41.4744,41.7052,40.2307,40.2771,176876828,Apple
2018-12-10,39.4435,40.6583,39.0456,40.5419,259473457,Apple
2018-12-11,41.0338,41.0653,39.9226,40.3118,197793481,Apple
2018-12-12,40.7335,41.095,40.4036,40.4232,149041316,Apple
2018-12-13,40.7564,41.252,40.5291,40.8658,133438240,Apple
2018-12-14,40.3987,40.4182,39.5079,39.5571,170275910,Apple
2018-12-17,39.5492,40.2427,38.9024,39.1888,185269754,Apple
2018-12-18,39.5314,40.045,39.2953,39.7002,141569285,Apple
2018-12-19,39.6845,40.0254,38.0294,38.4579,205179653,Apple
